Mr beast you again challenge the zalmi on astola island in 100 hours,0.247945,0
I love u mrbeast[e][e][e][e],0.975955,1
the like.......,-0.084698,1
I am from Bangladesh[e],0.064978,1
I want in show,0.204674,1
Mrbeast give me some money plssssssss[e][e][e][e][e][e],0.489496,1
Give me one chance,0.485909,1
Your challenge accepted Mr.Beast,0.735134,1
darius have a lot of chans his black for africa,0.076689,0
Yeah,0.401567,1
Day 10 of asking to be in a video,-0.033655,1
Yes but dont make it too dangerous,-0.303859,1
Help me please,0.430884,1
its like moana but better,0.629016,0
Anybody wanna talk,0.018344,1
Insane...,-0.342838,1
Superfr,0.439007,1
Halo,0.297876,1
Need i phone,0.133685,1
If it weren't for Darius we would never have seen Mr. Beast again.,-0.666148,0
Miss the videos like this I feel like jimmy has gotten too focused on the giving money away rather than just doing challenges with the boys like the good ole times looking forward to more of these,0.083442,0
Please 10k subscribers complete Mr beast fan[e][e][e],0.641657,1
Safelyest lighting a fire [e],0.016288,0
Videos never disappointing [e] Also Enhypen is 7 [e],0.595911,0
bros getting these ideas from rblx[e] I swear next video gonna be surviving 99 nights in a forest [e],-0.115871,0
Lesson of this video: throw trash in the ocean because it might help mrbeast [e][e][e],0.039824,0
[e][e][e],-0.039345,1
W Darious,-0.212035,0
Whose missing karl[e],-0.079171,0
if you pin me i will sub your all chanel,0.241306,1
From Bangladesh [e][e],0.015296,1
How can I join the next challenge please [e],0.122398,1
So the plan was to rely on the possibility of finding barrels in the trash which might have ended up on the island? hmm,-0.253932,0
OP!!!,0.680143,1
Are you going,0.062556,1
u do a lot more and to melt plastic it needs to go strait to the fire,-0.254301,0
Hi Mr beast 2026,0.450831,1
lDoNT NO,-0.397619,1
Mrbeast pls 1000$,0.27325,1
bro whats goingon your views are hnnnnn,-0.606881,1
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],0.879738,1
Yes!!!,0.832464,1
Bro more videos want,0.392846,1
WHY DID THEY NEED A SAIL?,-0.647588,0
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],0.93733,1
Hello i am from Greece and i think its a very good idea to do a chalenge/ Survival n Creta. Its verry beautiful we are waiting you [e][e] Ps: maybe I could help ( I am 12 years old) I have special abilites and I could help you see the place [e][e],0.972201,1
Camera man and that other person that came as a guide i forgot his name they literally carried mr beast and his team,0.517526,0
[e] Don't warry but [e],-0.078969,1
Find myself,0.173713,1
I want to join,0.407228,1
Darius deffo got a raise after this,0.680191,1
Come in India and meet me,0.314201,1
yes,0.377813,1
Do my challeng stay for 24 hour on the most dangerous island plssssss,-0.858524,1
i hope to see DARRIUS in the next video,0.865581,0
Why do I feel defeated and want to cry? Darius really did his absolute best Better luck next time guys [e],-0.235364,0
this video totally screpted,0.093213,0
Yes go with boys and adventure and videos,0.345789,0
Where is the karl,-0.335971,0
Big fan,0.876016,0
Hii mrBeast [e] Cameraman good done [e],0.907188,1
Cameraman never dies  Bring him out more,0.484078,0
Darius the goat if he's in the video in the next episode that'd would be bangers.,0.924022,0
Please give me an iPhone too MrBeast. I am from India.,0.756086,1
Build a boat refrence,-0.07725,0
[e]jxu,-0.020615,1
[e],0.092695,1
You are best in the world mr beast[e],0.96379,1
[e][e][e],-0.039345,1
Darius is the goat man he carried,0.927605,0
@ @@@@,-0.022129,1
What about trying it with bigger boat...,0.053232,0
Brother come in india[e][e],0.181092,1
MrBeast is the best Youtuber in the history ! He changes the world ! Go go go MrBeast ! [e],0.983252,1
GIMMEH MY COOKIE,0.243766,0
Mr. Beast noted it correctly.,0.647684,0
Overacting,-0.159954,0
The camera man is going crazy,0.455715,0
good,0.580132,1
24:18 yeah that's fake,-0.648273,0
I am from nepal and i also want to play one game [e],0.252116,0
I'm new subscriber[e] for your channel [e]bro[e][e],0.583775,0
My name is Komal and I am from a very poor family in India. My parents are laborers and our home is made of mud. Life is difficult but I have one dream  to study and change my familys future. I want to learn and become something in life but I cannot afford coaching or proper study resources. Still I try every day with hope in my heart. I humbly request a little support for my education. Even a small help can change my life and bring happiness to my parents who work very hard every day. Thank you for reading my message and for spreading kindness in the world.  Komal India,-0.401544,1
I love Darius the cameraman  He should join more video  Inshallah,0.977963,0
Fallow me,0.19116,1
[e][e][e]Hello MrBeast I truly take no pleasure in having to say this to you but I am currently going through a very difficult time. I am in the 6th grade and my school fees are extremely high. My father is the sole earning member of our family and he struggles to manage our household expenses. I also have a sister who attends school and her fees must be paid as well. We don't even own a home of our own; we live in a rented house. My father earns just $117 out of which he has to pay my sister's and my school fees; consequently there is hardly any money left for us to afford decent food or clothing. We don't even have enough money to buy a vehicle. If you wouldn't mindplease please pleasecould you donate a little money to me? If you do this I will be able to continue my education; otherwise I will be forced to drop out of school. Thank you. And please do reply to me.,-0.802994,1
Mrbeast love your videos I'm in need,0.960287,1
mr best why you got a fake birb,-0.500503,0
Dude darious is so cool he should definitely join more challenges!,0.977701,0
Mr. Beast can you give me 10000$,0.54256,1
[e][e][e][e][e][e][e][e][e],0.013888,1
The way they werent paddling in unison was driving me nuts,-0.753004,0
The video is incomplete without saying about nolan's mom[e][e],-0.791871,0
